adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,nome_no_dataset,data_no_dataset
False,/rohRr9XqTRF8YwLMGAnTprg3GnL.jpg,"[18, 36]",3777,ja,蜘蛛巣城,"Returning to their lord's castle, samurai warriors Washizu and Miki are waylaid by a spirit who predicts their futures. When the first part of the spirit's prophecy comes true, Washizu's scheming wife, Asaji, presses him to speed up the rest of the spirit's prophecy by murdering his lord and usurping his place. Director Akira Kurosawa's resetting of William Shakespeare's ""Macbeth"" in feudal Japan is one of his most acclaimed films.",2.3242,/5NdGZpoInkf4wBInNpry6JAjQ3D.jpg,1957-01-15,Throne of Blood,False,7.9,920,Kumonosu-jô,1957
False,/8JaU1ez5TSrRSmncB0Xh2YQavXP.jpg,"[18, 53, 12]",204,fr,Le Salaire de la peur,"In a run-down South American town, four men are paid to drive trucks loaded with nitroglycerin into the jungle through to the oil field. Friendships are tested and rivalries develop as they embark upon the perilous journey.",1.8343,/dZyZSosIlWcpQkV0f7pXcrV2TQV.jpg,1953-04-22,The Wages of Fear,False,8.02,1006,Le salaire de la peur,1953
False,/9eHg5qX7LkjW2Zrejvap2RmFGlD.jpg,"[18, 36, 10752]",777,fr,La Grande Illusion,"A group of French soldiers, including the patrician Captain de Boeldieu and the working-class Lieutenant Maréchal, grapple with their own class differences after being captured and held in a World War I German prison camp. When the men are transferred to a high-security fortress, they must concoct a plan to escape beneath the watchful eye of aristocratic German officer von Rauffenstein, who has formed an unexpected bond with de Boeldieu.",2.8016,/lWg41zE0FVixkNsFgxnlRyvDYv9.jpg,1937-06-04,Grand Illusion,False,7.9,734,La Grande Illusion,1937
False,/5YyWhr5cgVeYYHbsWjyQ0OGKkmu.jpg,"[18, 36]",780,fr,La Passion de Jeanne d'Arc,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.",2.6343,/plzI7N52uHhERUZLNSVbGGakFwR.jpg,1928-04-21,The Passion of Joan of Arc,False,8.0,1021,La passion de Jeanne d'Arc,1928
False,/A291ofGZZMc1LdiIeOMDIWrU65g.jpg,"[18, 27, 53, 80]",234,de,Das Cabinet des Dr. Caligari,"Francis, a young man, recalls in his memory the horrible experiences he and his fiancée Jane recently went through. Francis and his friend Alan visit The Cabinet of Dr. Caligari, an exhibit where the mysterious doctor shows the somnambulist Cesare, and awakens him for some moments from his death-like sleep.",3.6909,/myK9DeIsXWGKgUTZyGXg2IfFk0W.jpg,1920-02-27,The Cabinet of Dr. Caligari,False,7.9,1675,Das Cabinet des Dr. Caligari,1920
False,/wFOgP3PX907fhfVpeP3YItmPQtS.jpg,"[35, 10749, 18]",547654,hi,बधाई हो,A 25-year-old man tries to suppress his embarrassment when his mother announces that she is pregnant.,1.3983,/1RCzZkjxnL9MiAOP4oQQm63Ku0p.jpg,2018-10-19,Badhaai Ho,False,7.276,147,Badhaai ho,2018
False,/zJjI78peUFRIe2NPHthVhow2f60.jpg,"[28, 12, 14, 18]",256040,te,బాహుబలి:ద బిగినింగ్,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.",6.2336,/9BAjt8nSSms62uOVYn1t3C3dVto.jpg,2015-07-10,Bāhubali: The Beginning,False,7.539,856,Bãhubali: The Beginning,2015
False,/AtOQdXdibzCiMDIcFA0sBdk1ryf.jpg,"[16, 18, 14]",149871,ja,かぐや姫の物語,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate.",5.6501,/mWRQNlWXYYfd2z4FRm99MsgHgiA.jpg,2013-11-23,The Tale of The Princess Kaguya,False,8.1,1883,Kaguyahime no monogatari,2013
False,/yQxYnMCIsjd0rXm5hyXZzmE549O.jpg,"[80, 18, 53]",165904,hi,स्पेशल 26,"In the early 1980s India, a group of con artists rob businessmen and politicians by conducting fake raids, posing as officers of the CBI or Income Tax Department . They plan to execute their biggest con as a final job while a relentless cop is on their trail.",2.7466,/cOo6lOiZXO0zldPKsih9asKPWDo.jpg,2013-02-07,Special 26,False,7.276,210,Special Chabbis,2013
False,/5dg3woJqG7kNBCEMZNGPUauHSnK.jpg,"[28, 80, 53]",180299,id,The Raid 2: Berandal,"After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force.",3.185,/olA39iaXISiKEkACdELgr0ZRvIF.jpg,2014-03-27,The Raid 2,False,7.609,2448,Serbuan maut 2: Berandal,2014
False,/tmowA51oykuOdiyqRCP0jGYU1mB.jpg,"[18, 28, 80]",47931,pt,Tropa de Elite 2,"After a bloody invasion of the BOPE in the High-Security Penitentiary Bangu 1 in Rio de Janeiro to control a rebellion of interns, the Lieutenant-Colonel Roberto Nascimento and the second in command Captain André Matias are accused by the Human Right Aids member Diogo Fraga of execution of prisoners. Matias is transferred to the corrupted Military Police and Nascimento is exonerated from the BOPE by the Governor.",2.8569,/c7yCrf3PTSdp6RMGktZQhzFcFFM.jpg,2010-10-08,Elite Squad: The Enemy Within,False,7.829,1934,Tropa de Elite 2: O Inimigo Agora é Outro,2010
False,/8LBt89PMdIeLsI5MdgacfgErDHy.jpg,[18],37181,fa,درباره الی‎‎,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,2.416,/c0UxlkjpWTM5bAm2NtJ0UaYjfzO.jpg,2009-06-06,About Elly,False,7.448,515,Darbareye Elly,2009
False,/gkDdiM2baZ0pm9VnuLdTa2HqmYA.jpg,"[10752, 28, 18]",27957,tr,Nefes: Vatan Sağolsun,A small task force of the Turkish army have to defend a relay station in the middle of nowhere against a possible terrorist raid.,0.7709,/wFQW9HE7NrZQgWnKR8zl6mvHidx.jpg,2009-10-15,The Breath,False,7.274,133,Nefes: Vatan Sagolsun,2009
